date,pm25,T2M,RH2M,WS2M,pm25_lag_1,pm25_lag_7,month,smog_season
2022-03-17,56.733333333333334,26.84,44.21,1.6,55.2,46.0,3,0
2022-03-18,58.26666666666667,26.4,50.8,2.15,56.733333333333334,47.53333333333333,3,0
2022-03-19,59.800000000000004,27.03,52.59,1.44,58.26666666666667,49.06666666666667,3,0
2022-03-20,61.33333333333334,27.87,46.04,0.99,59.800000000000004,50.6,3,0
2022-03-21,62.866666666666674,27.21,47.38,1.5,61.33333333333334,52.13333333333333,3,0
2022-03-22,64.4,25.96,40.82,2.23,62.866666666666674,53.66666666666667,3,0
2022-03-24,69.49629629629631,26.1,35.08,1.39,64.4,55.2,3,0
2022-03-25,74.5925925925926,25.15,43.47,2.14,69.49629629629631,56.733333333333334,3,0
2022-03-26,79.6888888888889,25.0,38.24,2.39,74.5925925925926,58.26666666666667,3,0
2022-03-27,84.78518518518518,27.59,31.08,1.09,79.6888888888889,59.800000000000004,3,0
2022-03-29,89.88148148148149,28.51,26.85,1.15,84.78518518518518,61.33333333333334,3,0
2022-03-30,94.97777777777779,28.79,27.54,1.36,89.88148148148149,62.866666666666674,3,0
2022-03-31,100.07407407407408,27.85,28.17,1.48,94.97777777777779,64.4,3,0
2022-04-01,105.17037037037036,28.19,27.55,1.64,100.07407407407408,69.49629629629631,4,0
2022-04-02,110.26666666666667,28.92,20.3,2.02,105.17037037037036,74.5925925925926,4,0
2022-04-03,115.36296296296297,27.17,25.12,1.53,110.26666666666667,79.6888888888889,4,0
2022-04-04,120.45925925925926,28.23,27.37,2.32,115.36296296296297,84.78518518518518,4,0
2022-04-05,125.55555555555556,29.25,24.61,1.33,120.45925925925926,89.88148148148149,4,0
2022-04-06,207.3181818181818,30.61,22.28,1.58,125.55555555555556,94.97777777777779,4,0
2022-04-07,232.20833333333334,31.44,21.25,1.27,207.3181818181818,100.07407407407408,4,0
2022-04-08,152.70833333333334,31.51,21.88,1.37,232.20833333333334,105.17037037037036,4,0
2022-04-09,206.16666666666666,31.89,22.4,1.41,152.70833333333334,110.26666666666667,4,0
2022-04-10,178.20833333333334,32.0,24.59,1.96,206.16666666666666,115.36296296296297,4,0
2022-04-11,168.015873015873,33.09,23.5,1.25,178.20833333333334,120.45925925925926,4,0
2022-04-12,157.8234126984127,32.33,21.38,2.01,168.015873015873,125.55555555555556,4,0
2022-04-13,147.63095238095238,31.01,24.51,1.34,157.8234126984127,207.3181818181818,4,0
2022-04-14,137.43849206349208,31.71,25.69,1.52,147.63095238095238,232.20833333333334,4,0
2022-04-15,127.24603174603175,30.76,24.3,1.13,137.43849206349208,152.70833333333334,4,0
2022-04-16,117.05357142857143,31.84,21.97,0.95,127.24603174603175,206.16666666666666,4,0
2022-04-17,106.86111111111111,31.76,19.63,1.24,117.05357142857143,178.20833333333334,4,0
2022-04-18,96.6686507936508,33.35,18.98,1.51,106.86111111111111,168.015873015873,4,0
2022-04-19,86.47619047619048,32.95,24.54,1.49,96.6686507936508,157.8234126984127,4,0
2022-04-20,100.375,33.19,25.63,2.45,86.47619047619048,147.63095238095238,4,0
2022-04-21,80.16666666666667,31.27,27.47,2.38,100.375,137.43849206349208,4,0
2022-04-22,99.125,30.41,25.52,2.17,80.16666666666667,127.24603174603175,4,0
2022-04-23,89.66666666666667,30.76,24.41,2.26,99.125,117.05357142857143,4,0
2022-04-24,71.0,31.56,23.55,2.5,89.66666666666667,106.86111111111111,4,0
2022-04-25,93.33333333333333,32.64,23.38,1.96,71.0,96.6686507936508,4,0
2022-04-26,128.5909090909091,33.14,19.06,1.75,93.33333333333333,86.47619047619048,4,0
2022-04-28,123.0,36.68,14.1,1.19,128.5909090909091,100.375,4,0
2022-04-29,124.29166666666667,35.68,15.49,1.49,123.0,80.16666666666667,4,0
2022-04-30,163.08333333333334,36.3,16.77,1.38,124.29166666666667,99.125,4,0
2022-05-01,135.375,36.69,15.9,1.02,163.08333333333334,89.66666666666667,5,0
2022-05-02,122.375,35.4,15.13,2.3,135.375,71.0,5,0
